 114   Scan angles: step 50 (+-5)
   0   0   0
  50   0   0
 100   0   0
 150   0   0
 200   0   0
 250   0   0
 300   0   0
  25  45   0
  75  45   0
 125  45   0
 175  45   0
 225  45   0
 275  45   0
 325  45   0
   0  90   0
  50  90   0
 100  90   0
 150  90   0
 200  90   0
 250  90   0
 300  90   0
  25 135   0
  75 135   0
 125 135   0
 175 135   0
 225 135   0
 275 135   0
 325 135   0
   0 175  15
  55 175  25
 105 175  25
 155 175  25
 205 175  25
 255 175  25
 305 175  25
 335  15  40
 335 105  40
  25   0  45
  75   0  45
 125   0  45
 175   0  45
 225   0  45
 275   0  45
  50  65  45
 100  65  45
 150  65  45
 200  65  45
 250  65  45
  25  95  45
 320 150  60
 145 145  70
 195 145  70
 245 145  70
  55 165  75
 125 175  80
 280  80 105
 215  80 110
 110  90 120
 160  90 120
  15 105 125
  90 125 130
  25  50 140
 220  45 145
 285  50 145
 270 105 145
 340 120 145
 165  50 150
 220 115 150
  70  45 160
 335  45 160
 155 120 160
  45 100 165
 125  65 170
  95 105 175
 300  90 180
 250  40 185
 205  70 185
   0  85 185
 260 135 185
  15  30 190
 100  20 195
 150  25 195
 300  25 195
 195 120 195
  15 130 195
 325 130 195
 215   5 200
 250  90 200
  50  60 205
 155  85 205
  65 135 210
 115 140 210
  65   0 215
  95  70 215
 265   0 220
 350   0 220
 330  65 220
 220 150 220
 150 160 225
 270 160 225
 330 165 230
 140   0 235
 205  75 235
 170  30 240
   0  85 240
 275  50 245
  60 170 250
  15   0 265
 235  55 285
 100  70 285
  50  55 290
 325  95 295
 280  60 305
 110 110 305
